epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,151.454,1.54103,1.79343,1.30645,0.4537,0.35203,0.32489,0.15816,1.76616,1.80643,1.39905,0.000661333,0.000661333,0.000661333
2,330.656,1.72113,1.63292,1.41994,0.46404,0.33055,0.31181,0.14325,1.8603,1.81748,1.50752,0.00127541,0.00127541,0.00127541
3,508.982,1.81708,1.7355,1.48404,0.30394,0.30191,0.1691,0.06669,2.06187,2.42615,1.57715,0.00183669,0.00183669,0.00183669
4,686.108,1.84805,1.72584,1.49239,0.43625,0.34248,0.31403,0.1445,1.9642,1.75781,1.53182,0.0017624,0.0017624,0.0017624
5,831.587,1.79595,1.67277,1.47347,0.45777,0.321,0.3258,0.16356,1.82124,1.72652,1.45141,0.0016832,0.0016832,0.0016832
6,892.37,1.72613,1.60558,1.43136,0.46161,0.37947,0.34957,0.17173,1.81938,1.81994,1.47727,0.001604,0.001604,0.001604
7,959.105,1.72643,1.59575,1.43242,0.61309,0.36396,0.40282,0.20067,1.77835,1.62745,1.42195,0.0015248,0.0015248,0.0015248
8,1025.99,1.69568,1.52526,1.40148,0.55342,0.38902,0.40616,0.20658,1.74618,1.55982,1.38969,0.0014456,0.0014456,0.0014456
9,1093.23,1.67076,1.52917,1.39925,0.58359,0.36396,0.40737,0.21679,1.71177,1.55332,1.37108,0.0013664,0.0013664,0.0013664
10,1160.22,1.63123,1.48455,1.37798,0.56921,0.40215,0.42576,0.21314,1.74779,1.52116,1.38577,0.0012872,0.0012872,0.0012872
11,1227.39,1.59785,1.45602,1.35742,0.51903,0.42721,0.42143,0.22613,1.66213,1.45493,1.35755,0.001208,0.001208,0.001208
12,1294.15,1.59096,1.41,1.35178,0.60842,0.39494,0.43876,0.22797,1.68731,1.4285,1.37927,0.0011288,0.0011288,0.0011288
13,1361.29,1.57539,1.43,1.33999,0.60007,0.38902,0.42184,0.22839,1.6444,1.45194,1.32186,0.0010496,0.0010496,0.0010496
14,1428.37,1.58431,1.40077,1.32817,0.6145,0.42721,0.46291,0.24878,1.61466,1.3794,1.312,0.0009704,0.0009704,0.0009704
15,1496.16,1.50322,1.34362,1.31023,0.6524,0.41527,0.46892,0.25032,1.6033,1.3652,1.31125,0.0008912,0.0008912,0.0008912
16,1562.81,1.53318,1.40052,1.28368,0.57642,0.43556,0.45231,0.24784,1.5597,1.41682,1.2885,0.000812,0.000812,0.000812
17,1672.9,1.47147,1.31551,1.25679,0.62258,0.43675,0.48059,0.25399,1.59309,1.31219,1.30262,0.0007328,0.0007328,0.0007328
18,1820.35,1.46126,1.26571,1.24984,0.64015,0.43198,0.48021,0.25695,1.57698,1.31967,1.30868,0.0006536,0.0006536,0.0006536
19,1886.3,1.42902,1.23773,1.24156,0.68668,0.44511,0.50341,0.27651,1.57615,1.24746,1.29191,0.0005744,0.0005744,0.0005744
20,1951.77,1.41178,1.17059,1.20994,0.6782,0.44153,0.50302,0.27899,1.53503,1.24978,1.28525,0.0004952,0.0004952,0.0004952
21,2017.29,1.35519,1.16717,1.20127,0.68448,0.43079,0.50399,0.27493,1.55307,1.25311,1.29143,0.000416,0.000416,0.000416
22,2090.66,1.36214,1.11916,1.19393,0.69888,0.44315,0.51592,0.27956,1.52501,1.22847,1.26488,0.0003368,0.0003368,0.0003368
23,2163.32,1.34799,1.08491,1.18473,0.71435,0.43272,0.50196,0.2854,1.53232,1.22642,1.26918,0.0002576,0.0002576,0.0002576
24,2229.35,1.31278,1.05772,1.16913,0.70306,0.45704,0.51989,0.29882,1.47979,1.17766,1.2366,0.0001784,0.0001784,0.0001784
25,2295.47,1.30129,1.04452,1.16294,0.71106,0.45518,0.51641,0.29802,1.46836,1.1712,1.2298,9.92e-05,9.92e-05,9.92e-05
